State	County	City	City Type	 Population 	 electricity (kWh) 	 Nat. Gas (cu.ft.) 	 FUELOIL (gallons) 	 Vehicle miles traveled 	 Transport (tCO2e/yr) 	 Housing (tCO2e/yr) 	 Food (tCO2e/yr) 	Goods (tCO2e/yr)	Services (tCO2e/yr)	Total Household Carbon Footprint (tCO2e/yr)	 Households 	 Total City Carbon Footprint (tCO2e/yr) 								
CA	RIVERSIDE	AGUANGA	 small 	" 2,425 "	" 6,399 "	" 26,059 "	 -   	" 25,825 "	 17 	 9 	 8 	 5 	 5 	 44 	" 1,259 "	" 55,538 "								
CA	MERCED	DOS PALOS	 small 	" 9,386 "	" 7,669 "	" 38,106 "	 -   	" 26,021 "	 17 	 8 	 10 	 5 	 5 	 44 	" 3,014 "	" 132,957 "								
AL	MARENGO	DEMOPOLIS	 small 	" 8,733 "	" 13,359 "	" 33,751 "	 2 	" 19,640 "	 13 	 15 	 8 	 4 	 4 	 44 	" 3,807 "	" 167,946 "								
NM	RIO ARRIBA	LINDRITH	 small 	 346 	" 10,725 "	" 27,732 "	 -   	" 24,526 "	 16 	 12 	 7 	 4 	 5 	 44 	 151 	" 6,661 "								
MI	CHEBOYGAN	TOWER	 small 	 69 	" 10,873 "	" 69,603 "	 68 	" 14,865 "	 10 	 18 	 9 	 3 	 3 	 44 	 35 	" 1,544 "								
NM	OTERO	ALAMOGORDO	 small 	" 40,994 "	" 10,123 "	" 40,498 "	 -   	" 22,003 "	 15 	 12 	 8 	 5 	 5 	 44 	" 18,382 "	" 810,963 "								
ID	KOOTENAI	COEUR D ALENE	 small 	" 44,711 "	" 9,765 "	" 49,879 "	 16 	" 23,667 "	 16 	 11 	 7 	 5 	 5 	 44 	" 19,445 "	" 857,861 "								
VT	BENNINGTON	BONDVILLE	 small 	 688 	" 8,187 "	" 22,938 "	 384 	" 15,733 "	 12 	 13 	 7 	 6 	 7 	 44 	" 1,705 "	" 75,221 "								
PA	SOMERSET	URSINA	 small 	 136 	" 8,898 "	" 20,810 "	 618 	" 19,112 "	 13 	 16 	 7 	 4 	 4 	 44 	 74 	" 3,265 "								
WI	WASHBURN	SPOONER	 small 	" 6,610 "	" 8,453 "	" 38,680 "	 70 	" 20,417 "	 14 	 14 	 7 	 4 	 5 	 44 	" 4,063 "	" 179,258 "								
TX	FORT BEND	KENDLETON	 small 	 553 	" 12,996 "	" 28,483 "	 -   	" 21,653 "	 14 	 13 	 8 	 4 	 4 	 44 	 243 	" 10,722 "								
PA	ALLEGHENY	MCKEESPORT	 small 	" 47,702 "	" 10,459 "	" 74,679 "	 18 	" 16,217 "	 11 	 17 	 7 	 4 	 5 	 44 	" 21,765 "	" 960,323 "								
FL	LAFAYETTE	MAYO	 small 	" 5,491 "	" 11,819 "	" 19,555 "	 2 	" 22,303 "	 15 	 12 	 8 	 5 	 5 	 44 	" 1,843 "	" 81,318 "								
LA	VERNON	FORT POLK	 small 	" 14,305 "	" 10,671 "	" 25,523 "	 -   	" 20,793 "	 14 	 10 	 10 	 5 	 5 	 44 	" 3,999 "	" 176,447 "								
LA	CAMERON	CREOLE	 small 	" 1,201 "	" 14,006 "	" 26,939 "	 -   	" 22,933 "	 15 	 12 	 8 	 4 	 4 	 44 	 636 	" 28,062 "								
ME	HANCOCK	WINTER HARBOR	 small 	 988 	" 6,514 "	" 21,691 "	 648 	" 19,415 "	 13 	 15 	 7 	 4 	 5 	 44 	 558 	" 24,621 "								
MS	HUMPHREYS	BELZONI	 small 	" 5,907 "	" 14,161 "	" 43,824 "	 -   	" 17,467 "	 11 	 16 	 9 	 4 	 4 	 44 	" 2,122 "	" 93,630 "								
CA	MARIN	POINT REYES STATION	 small 	" 1,874 "	" 5,611 "	" 29,594 "	 7 	" 26,656 "	 19 	 7 	 7 	 6 	 6 	 44 	 977 	" 43,110 "								
CO	ARCHULETA	CHROMO	 small 	 165 	" 7,583 "	" 25,274 "	 -   	" 18,572 "	 13 	 12 	 7 	 5 	 6 	 44 	 149 	" 6,575 "								
WA	JEFFERSON	NORDLAND	 small 	 837 	" 10,384 "	" 22,928 "	 11 	" 27,074 "	 18 	 9 	 6 	 5 	 5 	 44 	 528 	" 23,298 "								
NY	HERKIMER	FRANKFORT	 small 	" 7,937 "	" 7,711 "	" 56,275 "	 207 	" 22,099 "	 15 	 11 	 8 	 5 	 5 	 44 	" 3,355 "	" 148,048 "								
TX	TYLER	FRED	 small 	" 1,382 "	" 10,626 "	" 22,073 "	 5 	" 25,894 "	 17 	 10 	 8 	 4 	 5 	 44 	 600 	" 26,477 "								
PA	TIOGA	BLOSSBURG	 small 	" 1,672 "	" 12,234 "	" 80,442 "	 12 	" 19,746 "	 13 	 15 	 7 	 4 	 5 	 44 	 789 	" 34,818 "								
TN	JOHNSON	MOUNTAIN CITY	 small 	" 12,474 "	" 10,216 "	" 22,807 "	 158 	" 23,507 "	 15 	 14 	 7 	 4 	 4 	 44 	" 5,288 "	" 233,358 "								
VA	CHARLOTTE	RED OAK	 small 	" 1,434 "	" 11,039 "	" 23,843 "	 186 	" 22,159 "	 15 	 13 	 8 	 4 	 5 	 44 	 679 	" 29,964 "								
AL	DALLAS	SELMA	 small 	" 39,188 "	" 14,133 "	" 36,610 "	 0 	" 18,927 "	 13 	 16 	 8 	 4 	 4 	 44 	" 17,197 "	" 758,927 "								
TX	MARION	JEFFERSON	 small 	" 8,537 "	" 11,183 "	" 26,749 "	 -   	" 21,263 "	 14 	 14 	 7 	 4 	 4 	 44 	" 4,727 "	" 208,612 "								
TX	HOUSTON	GRAPELAND	 small 	" 5,028 "	" 11,996 "	" 26,194 "	 2 	" 23,516 "	 16 	 12 	 7 	 4 	 5 	 44 	" 2,809 "	" 123,967 "								
ME	SOMERSET	HARTLAND	 small 	" 1,806 "	" 6,702 "	" 22,367 "	 606 	" 19,816 "	 13 	 14 	 7 	 4 	 5 	 44 	" 1,058 "	" 46,695 "								
GA	SUMTER	DE SOTO	 small 	 646 	" 12,795 "	" 28,034 "	 -   	" 19,661 "	 13 	 14 	 9 	 4 	 4 	 44 	 256 	" 11,299 "								
PA	CLEARFIELD	DU BOIS	 small 	" 20,609 "	" 10,708 "	" 62,988 "	 72 	" 19,660 "	 14 	 14 	 7 	 5 	 5 	 44 	" 9,374 "	" 413,732 "								
NY	DELAWARE	TREADWELL	 small 	 342 	" 7,260 "	" 9,037 "	 670 	" 19,677 "	 13 	 14 	 7 	 4 	 5 	 44 	 170 	" 7,503 "								
PA	WAYNE	SOUTH STERLING	 small 	 318 	" 9,233 "	" 21,363 "	 435 	" 20,237 "	 14 	 15 	 7 	 4 	 5 	 44 	 185 	" 8,166 "								
MT	CHOUTEAU	LOMA	 small 	 244 	" 8,684 "	" 44,839 "	 107 	" 25,557 "	 17 	 11 	 8 	 4 	 4 	 44 	 139 	" 6,135 "								
NC	WASHINGTON	CRESWELL	 small 	" 2,105 "	" 12,171 "	" 25,176 "	 69 	" 21,816 "	 15 	 12 	 8 	 5 	 5 	 44 	 990 	" 43,698 "								
WV	BRAXTON	COPEN	 small 	 132 	" 14,268 "	" 50,391 "	 -   	" 16,889 "	 11 	 18 	 8 	 3 	 3 	 44 	 57 	" 2,516 "								
CA	SIERRA	LOYALTON	 small 	" 1,802 "	" 5,779 "	" 25,982 "	 98 	" 27,971 "	 19 	 8 	 8 	 5 	 5 	 44 	 781 	" 34,475 "								
MS	JACKSON	PASCAGOULA	 small 	" 26,159 "	" 12,435 "	" 30,265 "	 -   	" 19,678 "	 13 	 14 	 8 	 5 	 5 	 44 	" 10,892 "	" 480,802 "								
WV	BOONE	WHITESVILLE	 small 	" 1,241 "	" 12,968 "	" 51,267 "	 -   	" 19,529 "	 13 	 17 	 7 	 4 	 4 	 44 	 683 	" 30,150 "								
MA	BARNSTABLE	WEST CHATHAM	 small 	 156 	" 7,182 "	" 23,945 "	 618 	" 14,173 "	 11 	 15 	 5 	 6 	 7 	 44 	 344 	" 15,186 "								
SC	CHARLESTON	JOHNS ISLAND	 small 	" 13,684 "	" 13,234 "	" 25,504 "	 32 	" 19,071 "	 13 	 13 	 8 	 5 	 6 	 44 	" 9,232 "	" 407,549 "								
MN	MILLE LACS	WAHKON	 small 	 834 	" 9,672 "	" 39,045 "	 72 	" 18,772 "	 13 	 15 	 7 	 5 	 5 	 44 	 649 	" 28,651 "								
SC	ANDERSON	PENDLETON	 small 	" 7,022 "	" 10,581 "	" 32,931 "	 39 	" 23,453 "	 16 	 12 	 7 	 5 	 5 	 44 	" 3,326 "	" 146,834 "								
TX	HARRISON	KARNACK	 small 	" 2,558 "	" 11,461 "	" 27,275 "	 -   	" 20,794 "	 14 	 15 	 7 	 4 	 5 	 44 	" 1,690 "	" 74,614 "								
SC	PICKENS	NORRIS	 small 	 253 	" 10,649 "	" 36,139 "	 61 	" 22,969 "	 15 	 12 	 8 	 4 	 5 	 44 	 110 	" 4,857 "								
CO	ROUTT	TOPONAS	 small 	 44 	" 7,640 "	" 25,274 "	 -   	" 22,127 "	 15 	 12 	 8 	 5 	 5 	 44 	 39 	" 1,722 "								
VA	BRUNSWICK	GASBURG	 small 	 489 	" 12,111 "	" 25,570 "	 56 	" 21,752 "	 15 	 12 	 6 	 5 	 6 	 44 	 347 	" 15,320 "								
PA	WESTMORELAND	LOWBER	 small 	 297 	" 8,195 "	" 37,544 "	 448 	" 17,138 "	 12 	 18 	 7 	 4 	 4 	 44 	 137 	" 6,049 "								
CA	SISKIYOU	GRENADA	 small 	 600 	" 6,139 "	" 25,819 "	 199 	" 26,918 "	 18 	 10 	 7 	 5 	 5 	 44 	 248 	" 10,950 "								
WV	WAYNE	GENOA	 small 	" 1,703 "	" 12,455 "	" 29,406 "	 11 	" 20,294 "	 13 	 15 	 8 	 4 	 4 	 44 	 736 	" 32,496 "								
KS	BOURBON	MAPLETON	 small 	 478 	" 11,484 "	" 32,351 "	 24 	" 17,468 "	 12 	 17 	 8 	 4 	 4 	 44 	 379 	" 16,734 "								
AZ	YAVAPAI	PRESCOTT	 small 	" 47,209 "	" 11,812 "	" 33,499 "	 1 	" 21,451 "	 15 	 13 	 6 	 5 	 5 	 44 	" 25,177 "	" 1,111,652 "								
MI	MANISTEE	ONEKAMA	 small 	" 1,188 "	" 9,754 "	" 27,854 "	 158 	" 17,456 "	 12 	 16 	 6 	 5 	 5 	 44 	 860 	" 37,973 "								
MI	HURON	CASEVILLE	 small 	" 2,474 "	" 11,163 "	" 65,337 "	 17 	" 16,393 "	 11 	 17 	 6 	 4 	 5 	 44 	" 2,501 "	" 110,436 "								
NY	ESSEX	LEWIS	 small 	 749 	" 6,561 "	" 10,972 "	 515 	" 21,836 "	 15 	 12 	 8 	 5 	 5 	 44 	 372 	" 16,427 "								
AR	LOGAN	PARIS	 small 	" 6,499 "	" 13,968 "	" 40,715 "	 -   	" 22,834 "	 15 	 13 	 7 	 4 	 4 	 44 	" 2,964 "	" 130,885 "								
LA	TANGIPAHOA	NATALBANY	 small 	 175 	" 15,397 "	" 34,841 "	 -   	" 17,172 "	 12 	 14 	 7 	 5 	 6 	 44 	 75 	" 3,312 "								
WV	BOONE	JEFFREY	 small 	 341 	" 13,065 "	" 43,369 "	 29 	" 18,766 "	 12 	 17 	 8 	 3 	 4 	 44 	 144 	" 6,359 "								
TX	LAVACA	MOULTON	 small 	" 1,863 "	" 11,670 "	" 24,350 "	 -   	" 24,450 "	 16 	 12 	 7 	 4 	 5 	 44 	 994 	" 43,896 "								
NY	OSWEGO	HANNIBAL	 small 	" 4,340 "	" 7,392 "	" 23,301 "	 283 	" 23,405 "	 16 	 10 	 8 	 5 	 5 	 44 	" 1,753 "	" 77,414 "								
GA	CANDLER	METTER	 small 	" 8,849 "	" 11,964 "	" 25,936 "	 13 	" 21,575 "	 14 	 13 	 8 	 4 	 4 	 44 	" 3,568 "	" 157,567 "								
TX	DONLEY	CLARENDON	 small 	" 3,214 "	" 11,006 "	" 40,864 "	 -   	" 23,572 "	 16 	 13 	 7 	 4 	 5 	 44 	" 2,042 "	" 90,184 "								
WV	WYOMING	RAVENCLIFF	 small 	 175 	" 12,870 "	" 48,144 "	 -   	" 18,712 "	 12 	 17 	 8 	 4 	 4 	 44 	 74 	" 3,268 "								
VA	MIDDLESEX	JAMAICA	 small 	 281 	" 11,663 "	" 24,225 "	 61 	" 24,194 "	 16 	 12 	 7 	 4 	 5 	 44 	 227 	" 10,026 "								
MN	HUBBARD	PARK RAPIDS	 small 	" 9,610 "	" 9,301 "	" 33,798 "	 82 	" 19,023 "	 13 	 14 	 7 	 5 	 5 	 44 	" 6,148 "	" 271,535 "								
NY	ONONDAGA	ELBRIDGE	 small 	" 2,852 "	" 8,772 "	" 52,611 "	 155 	" 22,040 "	 15 	 11 	 7 	 5 	 6 	 44 	" 1,194 "	" 52,736 "								
OK	CHEROKEE	MOODYS	 small 	 78 	" 10,749 "	" 25,274 "	 -   	" 20,079 "	 13 	 14 	 9 	 4 	 4 	 44 	 31 	" 1,369 "								
KY	HOPKINS	EARLINGTON	 small 	" 1,633 "	" 14,466 "	" 56,185 "	 -   	" 17,775 "	 12 	 17 	 7 	 4 	 4 	 44 	 791 	" 34,937 "								
NY	ONEIDA	WHITESBORO	 small 	" 11,555 "	" 8,133 "	" 72,609 "	 64 	" 21,364 "	 15 	 11 	 7 	 5 	 6 	 44 	" 4,931 "	" 217,798 "								
NY	ULSTER	KERHONKSON	 small 	" 4,925 "	" 6,695 "	" 13,597 "	 455 	" 21,386 "	 15 	 11 	 8 	 5 	 6 	 44 	" 2,641 "	" 116,655 "								
FL	BREVARD	MELBOURNE BEACH	 small 	" 10,543 "	" 10,810 "	" 13,873 "	 6 	" 19,833 "	 14 	 11 	 6 	 6 	 7 	 44 	" 6,344 "	" 280,222 "								
VT	CALEDONIA	SHEFFIELD	 small 	 741 	" 7,107 "	" 23,301 "	 418 	" 22,334 "	 15 	 12 	 8 	 4 	 5 	 44 	 406 	" 17,934 "								
NY	ONTARIO	CLIFTON SPRINGS	 small 	" 6,106 "	" 7,586 "	" 47,231 "	 121 	" 23,001 "	 16 	 10 	 8 	 5 	 6 	 44 	" 2,419 "	" 106,856 "								
LA	WEST FELICIANA	TUNICA	 small 	 201 	" 13,608 "	" 26,111 "	 -   	" 21,419 "	 14 	 12 	 7 	 5 	 5 	 44 	 112 	" 4,948 "								
PA	FAYETTE	RONCO	 small 	 321 	" 6,982 "	" 29,897 "	 537 	" 16,825 "	 11 	 17 	 8 	 4 	 4 	 44 	 125 	" 5,522 "								
CA	MENDOCINO	HOPLAND	 small 	" 1,359 "	" 6,365 "	" 34,833 "	 9 	" 26,097 "	 17 	 8 	 9 	 5 	 5 	 44 	 482 	" 21,293 "								
WI	ASHLAND	ODANAH	 small 	 376 	" 9,605 "	" 59,310 "	 32 	" 15,229 "	 10 	 16 	 9 	 4 	 4 	 44 	 124 	" 5,478 "								
MS	ATTALA	KOSCIUSKO	 small 	" 13,443 "	" 12,809 "	" 38,317 "	 -   	" 20,564 "	 14 	 15 	 8 	 4 	 4 	 44 	" 5,872 "	" 259,422 "								
VA	ACCOMACK	HALLWOOD	 small 	 776 	" 11,142 "	" 23,426 "	 237 	" 21,572 "	 14 	 13 	 8 	 4 	 4 	 44 	 333 	" 14,712 "								
SC	LAURENS	CLINTON	 small 	" 15,986 "	" 12,415 "	" 42,066 "	 52 	" 21,206 "	 14 	 13 	 7 	 4 	 5 	 44 	" 6,262 "	" 276,660 "								
NY	ONEIDA	NEW HARTFORD	 small 	" 15,871 "	" 8,202 "	" 69,697 "	 78 	" 20,584 "	 15 	 11 	 7 	 5 	 6 	 44 	" 6,671 "	" 294,736 "								
SD	GREGORY	BURKE	 small 	" 1,155 "	" 9,070 "	" 19,772 "	 113 	" 24,526 "	 16 	 14 	 7 	 4 	 4 	 44 	 623 	" 27,525 "								
AL	BUTLER	MC KENZIE	 small 	" 2,093 "	" 12,728 "	" 25,195 "	 -   	" 22,815 "	 15 	 14 	 7 	 4 	 4 	 44 	" 1,062 "	" 46,921 "								
NH	CARROLL	OSSIPEE	 small 	" 2,153 "	" 7,118 "	" 22,567 "	 457 	" 20,394 "	 14 	 13 	 7 	 5 	 5 	 44 	" 1,511 "	" 66,761 "								
NY	DELAWARE	HOBART	 small 	 912 	" 7,027 "	" 10,033 "	 622 	" 18,923 "	 13 	 13 	 7 	 5 	 5 	 44 	 609 	" 26,908 "								
NY	HERKIMER	JORDANVILLE	 small 	 724 	" 6,929 "	" 14,971 "	 430 	" 23,005 "	 15 	 11 	 8 	 5 	 5 	 44 	 318 	" 14,051 "								
AK	NORTHWEST ARCTIC	KIVALINA	 small 	 377 	" 6,660 "	" 25,548 "	 649 	" 7,214 "	 5 	 14 	 14 	 5 	 5 	 44 	 80 	" 3,535 "								
CA	MERCED	WINTON	 small 	" 11,455 "	" 7,402 "	" 36,631 "	 -   	" 24,022 "	 16 	 8 	 11 	 5 	 5 	 44 	" 3,414 "	" 150,852 "								
WA	OKANOGAN	NESPELEM	 small 	" 1,281 "	" 10,420 "	" 24,385 "	 3 	" 24,216 "	 16 	 10 	 10 	 4 	 4 	 44 	 437 	" 19,310 "								
KY	BATH	SALT LICK	 small 	" 2,688 "	" 12,111 "	" 28,695 "	 22 	" 22,236 "	 15 	 14 	 7 	 4 	 4 	 44 	" 1,337 "	" 59,078 "								
MI	ALCONA	GREENBUSH	 small 	" 1,458 "	" 10,935 "	" 61,714 "	 9 	" 16,697 "	 12 	 17 	 6 	 4 	 5 	 44 	" 1,483 "	" 65,531 "								
CA	FRESNO	FIREBAUGH	 small 	" 9,474 "	" 7,159 "	" 36,044 "	 2 	" 23,446 "	 15 	 8 	 12 	 5 	 5 	 44 	" 2,673 "	" 118,119 "								
WV	WEBSTER	COWEN	 small 	" 2,998 "	" 11,236 "	" 23,634 "	 100 	" 21,493 "	 14 	 15 	 7 	 4 	 4 	 44 	" 1,432 "	" 63,281 "								
OK	CHOCTAW	SWINK	 small 	 227 	" 11,308 "	" 24,371 "	 -   	" 24,003 "	 15 	 14 	 8 	 4 	 3 	 44 	 114 	" 5,038 "								
MO	MERCER	MERCER	 small 	" 1,015 "	" 10,660 "	" 32,887 "	 8 	" 20,262 "	 14 	 15 	 7 	 4 	 4 	 44 	 719 	" 31,774 "								
ND	MCLEAN	ROSEGLEN	 small 	 362 	" 9,231 "	" 25,630 "	 -   	" 22,005 "	 14 	 13 	 10 	 4 	 4 	 44 	 128 	" 5,657 "								
NC	VANCE	TOWNSVILLE	 small 	 146 	" 10,073 "	" 22,988 "	 313 	" 17,273 "	 11 	 14 	 11 	 4 	 4 	 44 	 47 	" 2,077 "								
MS	TALLAHATCHIE	CHARLESTON	 small 	" 5,248 "	" 12,603 "	" 35,062 "	 -   	" 20,622 "	 13 	 15 	 8 	 4 	 4 	 44 	" 2,079 "	" 91,878 "								
KY	HARLAN	BAXTER	 small 	" 3,585 "	" 11,416 "	" 23,330 "	 51 	" 22,494 "	 15 	 14 	 7 	 4 	 4 	 44 	" 1,599 "	" 70,666 "								
PA	CLARION	LIMESTONE	 small 	 56 	" 9,309 "	" 59,999 "	 182 	" 17,795 "	 12 	 17 	 6 	 4 	 5 	 44 	 32 	" 1,414 "								
RI	WASHINGTON	BLOCK ISLAND	 small 	" 1,010 "	" 7,551 "	" 20,701 "	 718 	" 14,040 "	 11 	 16 	 6 	 5 	 6 	 44 	" 1,606 "	" 70,981 "								
IA	FRANKLIN	POPEJOY	 small 	 21 	" 8,723 "	" 30,446 "	 123 	" 23,272 "	 16 	 14 	 6 	 4 	 5 	 44 	 11 	 486 								
WV	RALEIGH	BRADLEY	 small 	 109 	" 9,569 "	" 37,296 "	 -   	" 19,105 "	 14 	 13 	 6 	 5 	 6 	 44 	 62 	" 2,740 "								
NY	OSWEGO	BERNHARDS BAY	 small 	" 1,380 "	" 7,096 "	" 15,335 "	 353 	" 21,769 "	 15 	 10 	 8 	 5 	 6 	 44 	 729 	" 32,221 "								
AR	CLEVELAND	NEW EDINBURG	 small 	 995 	" 12,777 "	" 26,093 "	 -   	" 24,608 "	 16 	 12 	 8 	 4 	 4 	 44 	 490 	" 21,658 "								
UT	DUCHESNE	ALTONAH	 small 	 110 	" 9,015 "	" 24,796 "	 -   	" 27,010 "	 18 	 9 	 9 	 5 	 5 	 44 	 50 	" 2,210 "								
KY	LETCHER	GORDON	 small 	 449 	" 11,753 "	" 23,570 "	 27 	" 24,429 "	 16 	 14 	 8 	 4 	 4 	 44 	 205 	" 9,061 "								
FL	COLUMBIA	FORT WHITE	 small 	" 6,338 "	" 11,593 "	" 17,848 "	 10 	" 23,103 "	 15 	 12 	 8 	 5 	 5 	 44 	" 3,026 "	" 133,751 "								
MO	DALLAS	TUNAS	 small 	" 1,265 "	" 10,890 "	" 24,270 "	 10 	" 20,629 "	 13 	 15 	 8 	 4 	 4 	 44 	 560 	" 24,753 "								
TX	WHARTON	WHARTON	 small 	" 14,964 "	" 11,826 "	" 27,191 "	 1 	" 22,598 "	 15 	 12 	 8 	 4 	 5 	 44 	" 6,370 "	" 281,575 "								
PA	WASHINGTON	ELLSWORTH	 small 	" 1,083 "	" 9,493 "	" 70,604 "	 40 	" 18,188 "	 13 	 16 	 7 	 4 	 5 	 44 	 528 	" 23,341 "								
TX	HILL	WHITNEY	 small 	" 8,454 "	" 11,669 "	" 24,985 "	 2 	" 23,385 "	 16 	 12 	 7 	 4 	 5 	 44 	" 4,578 "	" 202,383 "								
NM	RIO ARRIBA	CHAMA	 small 	" 1,604 "	" 12,841 "	" 36,366 "	 -   	" 20,284 "	 14 	 14 	 7 	 5 	 5 	 44 	" 1,093 "	" 48,321 "								
PA	TIOGA	MANSFIELD	 small 	" 7,295 "	" 10,605 "	" 64,625 "	 38 	" 21,023 "	 14 	 13 	 7 	 5 	 5 	 44 	" 2,707 "	" 119,675 "								
CO	MOFFAT	DINOSAUR	 small 	 424 	" 7,692 "	" 24,886 "	 -   	" 28,546 "	 19 	 8 	 8 	 5 	 5 	 44 	 217 	" 9,594 "								
GA	COLQUITT	MOULTRIE	 small 	" 32,226 "	" 12,705 "	" 28,341 "	 4 	" 20,286 "	 14 	 14 	 8 	 4 	 5 	 44 	" 13,548 "	" 598,982 "								
NC	WILKES	FERGUSON	 small 	" 1,371 "	" 10,189 "	" 23,296 "	 197 	" 23,417 "	 16 	 13 	 7 	 4 	 5 	 44 	 746 	" 32,983 "								
PA	ALLEGHENY	HARWICK	 small 	 982 	" 9,681 "	" 68,998 "	 38 	" 17,623 "	 12 	 16 	 6 	 5 	 5 	 44 	 503 	" 22,241 "								
WA	DOUGLAS	MANSFIELD	 small 	 498 	" 10,325 "	" 21,210 "	 11 	" 27,603 "	 18 	 9 	 7 	 5 	 5 	 44 	 264 	" 11,673 "								
NH	CARROLL	FREEDOM	 small 	" 1,304 "	" 7,013 "	" 21,807 "	 566 	" 18,702 "	 13 	 14 	 6 	 5 	 6 	 44 	" 1,407 "	" 62,213 "								
KY	BOURBON	MILLERSBURG	 small 	 947 	" 11,302 "	" 22,887 "	 142 	" 21,576 "	 14 	 14 	 7 	 4 	 4 	 44 	 434 	" 19,191 "								
MI	SANILAC	PORT SANILAC	 small 	" 1,457 "	" 10,734 "	" 64,277 "	 7 	" 17,510 "	 12 	 17 	 6 	 4 	 5 	 44 	" 1,097 "	" 48,508 "								
MO	HOWELL	MOUNTAIN VIEW	 small 	" 5,507 "	" 10,660 "	" 24,622 "	 4 	" 21,614 "	 14 	 15 	 7 	 4 	 4 	 44 	" 2,537 "	" 112,184 "								
MT	SHERIDAN	HOMESTEAD	 small 	 35 	" 8,800 "	" 32,193 "	 39 	" 22,229 "	 14 	 14 	 9 	 4 	 4 	 44 	 21 	 929 								
PA	SOMERSET	ACOSTA	 small 	 264 	" 8,513 "	" 20,696 "	 589 	" 19,320 "	 13 	 16 	 8 	 4 	 4 	 44 	 116 	" 5,130 "								
NC	DUPLIN	ALBERTSON	 small 	" 1,771 "	" 11,921 "	" 25,616 "	 -   	" 22,360 "	 15 	 11 	 9 	 5 	 5 	 44 	 653 	" 28,876 "								
VA	HALIFAX	CLOVER	 small 	" 2,170 "	" 10,637 "	" 23,719 "	 195 	" 24,066 "	 16 	 13 	 7 	 4 	 4 	 44 	" 1,051 "	" 46,477 "								
AZ	APACHE	WINDOW ROCK	 small 	" 4,413 "	" 10,499 "	" 30,406 "	 -   	" 20,370 "	 14 	 9 	 11 	 5 	 5 	 44 	" 1,051 "	" 46,477 "								
NY	SCHUYLER	ALPINE	 small 	" 1,207 "	" 6,924 "	" 15,568 "	 386 	" 22,644 "	 15 	 11 	 8 	 5 	 6 	 44 	 546 	" 24,146 "								
WV	POCAHONTAS	BARTOW	 small 	 375 	" 11,334 "	" 23,837 "	 159 	" 19,592 "	 13 	 16 	 8 	 4 	 4 	 44 	 288 	" 12,737 "								
AR	JEFFERSON	HUMPHREY	 small 	" 1,398 "	" 14,047 "	" 38,915 "	 -   	" 22,425 "	 15 	 13 	 7 	 4 	 4 	 44 	 668 	" 29,542 "								
CA	KERN	ARVIN	 small 	" 16,202 "	" 7,793 "	" 39,326 "	 -   	" 23,026 "	 15 	 8 	 13 	 5 	 4 	 44 	" 4,221 "	" 186,672 "								
SC	SUMTER	REMBERT	 small 	" 6,282 "	" 11,838 "	" 24,720 "	 132 	" 21,874 "	 14 	 13 	 8 	 4 	 4 	 44 	" 2,291 "	" 101,321 "								
AL	CLARKE	DICKINSON	 small 	 493 	" 12,864 "	" 26,489 "	 -   	" 20,916 "	 14 	 14 	 8 	 4 	 4 	 44 	 217 	" 9,597 "								
TX	FAYETTE	FLATONIA	 small 	" 2,363 "	" 11,718 "	" 23,621 "	 3 	" 22,979 "	 15 	 12 	 8 	 4 	 5 	 44 	" 1,133 "	" 50,111 "								
CA	HUMBOLDT	SCOTIA	 small 	" 1,117 "	" 6,224 "	" 47,134 "	 7 	" 24,557 "	 16 	 8 	 9 	 5 	 5 	 44 	 404 	" 17,869 "								
NY	OTSEGO	MORRIS	 small 	" 1,894 "	" 6,949 "	" 15,164 "	 458 	" 22,408 "	 15 	 12 	 8 	 5 	 5 	 44 	 860 	" 38,039 "								
WI	VERNON	ONTARIO	 small 	" 1,183 "	" 8,484 "	" 22,480 "	 66 	" 22,202 "	 15 	 13 	 8 	 4 	 5 	 44 	 554 	" 24,505 "								
PA	MONTOUR	WASHINGTONVILLE	 small 	 257 	" 8,962 "	" 22,454 "	 368 	" 19,297 "	 13 	 14 	 8 	 5 	 5 	 44 	 125 	" 5,529 "								
MS	SIMPSON	D LO	 small 	 402 	" 14,422 "	" 35,687 "	 -   	" 22,599 "	 15 	 13 	 7 	 4 	 5 	 44 	 197 	" 8,714 "								
MO	SAINT LOUIS	SAINT ANN	 small 	" 15,399 "	" 11,094 "	" 51,067 "	 4 	" 16,755 "	 12 	 17 	 6 	 4 	 5 	 44 	" 7,534 "	" 333,258 "								
CA	SAN DIEGO	CAMPO	 small 	" 3,122 "	" 6,690 "	" 26,587 "	 7 	" 27,165 "	 18 	 7 	 8 	 5 	 6 	 44 	" 1,176 "	" 52,021 "								
VT	ADDISON	GRANVILLE	 small 	 274 	" 7,390 "	" 23,463 "	 313 	" 24,402 "	 16 	 11 	 7 	 5 	 5 	 44 	 205 	" 9,068 "								
PA	WARREN	SHEFFIELD	 small 	" 2,438 "	" 12,420 "	" 82,419 "	 7 	" 17,563 "	 12 	 15 	 7 	 5 	 5 	 44 	" 1,662 "	" 73,522 "								
MT	LAKE	SAINT IGNATIUS	 small 	" 2,930 "	" 7,809 "	" 23,452 "	 143 	" 26,938 "	 18 	 10 	 8 	 4 	 4 	 44 	" 1,167 "	" 51,625 "								
