State	County	City	City Type	 Population 	 electricity (kWh) 	 Nat. Gas (cu.ft.) 	 FUELOIL (gallons) 	 Vehicle miles traveled 	 Transport (tCO2e/yr) 	 Housing (tCO2e/yr) 	 Food (tCO2e/yr) 	Goods (tCO2e/yr)	Services (tCO2e/yr)	Total Household Carbon Footprint (tCO2e/yr)	 Households 	 Total City Carbon Footprint (tCO2e/yr) 								
NM	BERNALILLO	ALBUQUERQUE	 large 	" 535,914 "	" 12,114 "	" 39,473 "	 0 	" 21,222 "	 15 	 13 	 7 	 5 	 6 	 46 	" 230,441 "	" 10,638,761 "								
TX	HARRIS	HOUSTON	 large 	" 2,545,662 "	" 11,864 "	" 28,029 "	 0 	" 21,392 "	 15 	 12 	 8 	 5 	 6 	 47 	" 997,906 "	" 46,425,257 "								
TX	BEXAR	SAN ANTONIO	 large 	" 1,308,200 "	" 11,692 "	" 30,279 "	 0 	" 22,409 "	 15 	 12 	 9 	 5 	 6 	 47 	" 492,088 "	" 23,078,554 "								
TX	TARRANT	FORT WORTH	 large 	" 678,401 "	" 11,099 "	" 32,469 "	 0 	" 23,274 "	 16 	 12 	 8 	 5 	 6 	 47 	" 264,320 "	" 12,414,062 "								
TN	SHELBY	MEMPHIS	 large 	" 729,306 "	" 14,574 "	" 43,151 "	 0 	" 18,836 "	 13 	 16 	 8 	 5 	 5 	 47 	" 298,963 "	" 14,053,545 "								
MI	WAYNE	DETROIT	 large 	" 892,541 "	" 11,023 "	" 91,254 "	 3 	" 15,253 "	 11 	 19 	 8 	 5 	 5 	 47 	" 352,240 "	" 16,625,660 "								
NC	MECKLENBURG	CHARLOTTE	 large 	" 604,030 "	" 12,697 "	" 39,112 "	 18 	" 20,788 "	 15 	 13 	 7 	 6 	 7 	 48 	" 257,578 "	" 12,239,911 "								
OK	OKLAHOMA	OKLAHOMA CITY	 large 	" 525,210 "	" 12,963 "	" 42,810 "	 0 	" 20,322 "	 14 	 17 	 7 	 5 	 5 	 48 	" 268,527 "	" 12,801,214 "								
OH	HAMILTON	CINCINNATI	 large 	" 815,386 "	" 10,925 "	" 56,187 "	 15 	" 19,157 "	 14 	 16 	 7 	 5 	 6 	 48 	" 367,561 "	" 17,544,215 "								
TX	TRAVIS	AUSTIN	 large 	" 739,980 "	" 11,462 "	" 28,222 "	 0 	" 23,083 "	 16 	 12 	 7 	 6 	 6 	 48 	" 325,582 "	" 15,567,861 "								
TX	EL PASO	EL PASO	 large 	" 634,327 "	" 12,629 "	" 39,408 "	 0 	" 22,856 "	 15 	 14 	 10 	 5 	 5 	 48 	" 212,170 "	" 10,244,945 "								
IN	MARION	INDIANAPOLIS	 large 	" 855,371 "	" 11,273 "	" 55,417 "	 4 	" 20,413 "	 14 	 16 	 7 	 5 	 6 	 48 	" 387,411 "	" 18,712,820 "								
UT	SALT LAKE	SALT LAKE CITY	 large 	" 567,641 "	" 10,905 "	" 73,027 "	 0 	" 22,662 "	 16 	 13 	 9 	 5 	 6 	 49 	" 212,978 "	" 10,359,935 "								
KY	JEFFERSON	LOUISVILLE	 large 	" 690,172 "	" 14,361 "	" 51,440 "	 3 	" 20,914 "	 15 	 17 	 7 	 5 	 6 	 49 	" 303,961 "	" 15,034,886 "								
MN	RAMSEY	SAINT PAUL	 large 	" 512,720 "	" 10,466 "	" 67,799 "	 9 	" 19,498 "	 14 	 17 	 7 	 5 	 6 	 50 	" 292,630 "	" 14,569,888 "								
MN	HENNEPIN	MINNEAPOLIS	 large 	" 839,125 "	" 10,754 "	" 71,149 "	 4 	" 19,252 "	 14 	 17 	 7 	 6 	 6 	 50 	" 421,864 "	" 21,161,618 "								
MO	SAINT LOUIS	SAINT LOUIS	 large 	" 635,263 "	" 13,510 "	" 58,361 "	 2 	" 20,298 "	 14 	 20 	 7 	 6 	 6 	 53 	" 446,095 "	" 23,806,477 "								
CA	SANTA CLARA	SAN JOSE	 large 	" 930,193 "	" 6,976 "	" 40,898 "	 1 	" 28,858 "	 20 	 8 	 10 	 7 	 8 	 54 	" 292,714 "	" 15,830,739 "								
FL	MIAMI-DADE	MIAMI BEACH	 medium 	" 109,052 "	" 9,078 "	" 12,444 "	 2 	" 11,241 "	 8 	 9 	 6 	 4 	 5 	 32 	" 73,506 "	" 2,376,212 "								
NY	QUEENS	ASTORIA	 medium 	" 165,859 "	" 5,247 "	" 35,286 "	 268 	" 8,962 "	 7 	 10 	 8 	 5 	 5 	 34 	" 67,791 "	" 2,326,083 "								
NY	TOMPKINS	ITHACA	 medium 	" 63,396 "	" 6,325 "	" 53,863 "	 61 	" 13,549 "	 10 	 9 	 7 	 4 	 5 	 35 	" 24,958 "	" 863,144 "								
NY	QUEENS	WOODSIDE	 medium 	" 88,339 "	" 5,510 "	" 40,261 "	 206 	" 8,859 "	 7 	 9 	 8 	 5 	 5 	 35 	" 32,798 "	" 1,143,096 "								
FL	BROWARD	DEERFIELD BEACH	 medium 	" 55,639 "	" 8,909 "	" 11,873 "	 1 	" 14,810 "	 11 	 9 	 6 	 4 	 5 	 35 	" 32,451 "	" 1,144,285 "								
CT	HARTFORD	HARTFORD	 medium 	" 122,112 "	" 5,742 "	" 50,504 "	 202 	" 12,015 "	 8 	 11 	 8 	 4 	 4 	 35 	" 50,902 "	" 1,795,832 "								
NY	QUEENS	JACKSON HEIGHTS	 medium 	" 71,308 "	" 5,194 "	" 33,573 "	 288 	" 8,078 "	 6 	 10 	 9 	 5 	 6 	 35 	" 25,398 "	" 896,964 "								
NY	ONEIDA	UTICA	 medium 	" 69,581 "	" 6,766 "	" 70,473 "	 76 	" 13,893 "	 10 	 10 	 7 	 4 	 4 	 35 	" 32,788 "	" 1,161,202 "								
MA	SUFFOLK	BOSTON	 medium 	" 359,339 "	" 5,520 "	" 44,936 "	 195 	" 11,148 "	 8 	 10 	 7 	 5 	 5 	 35 	" 155,129 "	" 5,502,443 "								
NY	QUEENS	FAR ROCKAWAY	 medium 	" 67,341 "	" 5,868 "	" 38,471 "	 259 	" 10,760 "	 8 	 10 	 9 	 4 	 5 	 35 	" 24,031 "	" 853,007 "								
NY	QUEENS	ELMHURST	 medium 	" 105,723 "	" 5,697 "	" 41,516 "	 175 	" 9,116 "	 7 	 9 	 10 	 5 	 5 	 36 	" 34,219 "	" 1,234,913 "								
NY	QUEENS	FOREST HILLS	 medium 	" 70,204 "	" 5,252 "	" 34,963 "	 253 	" 9,979 "	 8 	 9 	 6 	 6 	 7 	 36 	" 34,472 "	" 1,246,700 "								
NJ	HUDSON	UNION CITY	 medium 	" 80,589 "	" 6,817 "	" 55,726 "	 100 	" 10,008 "	 7 	 11 	 8 	 5 	 5 	 36 	" 29,900 "	" 1,082,963 "								
NJ	HUDSON	WEST NEW YORK	 medium 	" 56,559 "	" 6,806 "	" 52,500 "	 113 	" 10,486 "	 8 	 11 	 8 	 5 	 5 	 36 	" 22,002 "	" 800,627 "								
